Balance,BillCycle,CardID,CardNumber,CardType,CreditLimit,CustomerID,ExpirationDate,InterestRate,IssueDate,Status
132.01,Quarterly,1846870751689757,502039678813,Visa,2351.48,425794,2026-11-28,16.66,2022-04-30,Closed
1181.23,Quarterly,1471289558773290,502080873495,MasterCard,3579,404889,2027-09-03,11,2020-09-21,Closed
192.84,Quarterly,5231596927783023,349556247606727,Visa,3359.44,420422,2029-04-04,12.25,2021-07-29,Closed
3735.18,Quarterly,4356019661349477,3517335503327801,American Express,1363.91,435836,2026-08-16,19.09,2022-05-02,Closed
4378.85,Monthly,1989886835556865,3592861417488692,American Express,4250.63,414350,2028-12-01,16.91,2022-10-20,Closed
3804.68,Monthly,1499609832257440,30572456138231,Visa,5435.09,440110,2029-04-08,10.94,2020-08-11,Closed
1378.88,Monthly,2688529624141444,4004968342927155,Visa,5423.45,403314,2027-05-04,16.3,2021-10-21,Active
2066.38,Quarterly,5192035158708511,345238269267407,American Express,4539.1,419835,2026-11-24,18.3,2021-07-05,Suspended
562.61,Quarterly,6647664771534133,4371969557173,Visa,3755.63,435535,2028-05-23,15.01,2020-12-20,Suspended
4557.7,Monthly,4709140875330754,3540466880093491,MasterCard,6155.39,431261,2029-02-17,13.66,2023-05-06,Active
3192.43,Quarterly,6231183925756271,4522269770978488826,MasterCard,9116,400113,2026-02-11,10.02,2023-12-26,Closed
2590.89,Monthly,2074865840998148,4250666343349327,Visa,8692.7,449439,2029-07-28,18.56,2022-09-29,Suspended
4498.29,Quarterly,2877090371210754,3509727277526008,Visa,8391.95,416066,2025-09-16,13.37,2021-11-22,Suspended
356.55,Monthly,7288119288198693,4734174065453418454,Visa,8301.15,427558,2028-01-16,12.21,2020-02-05,Active
2012.6,Monthly,7563957978886692,3561694006157023,MasterCard,9064.61,440044,2026-10-19,14.61,2023-03-04,Suspended
3752.25,Quarterly,9437601203178616,6011157920411461,American Express,1770.72,419232,2026-12-14,12.18,2022-08-09,Closed
177.71,Monthly,6895902265998558,6011340398174288,MasterCard,6633.56,437488,2026-10-25,18.37,2020-03-02,Active
4349.28,Monthly,5579857270358405,180028223499180,Visa,8396.6,428612,2029-04-05,16.81,2021-01-30,Active
3459.67,Quarterly,5659406171594815,4665824216249897,American Express,1595.46,436053,2025-12-14,12.35,2023-03-29,Active
3130.86,Quarterly,6712939101802115,6565788636048211,American Express,7438.54,442386,2026-07-30,12.24,2021-11-21,Active
1592.19,Monthly,4529121848576606,4345959160029800,American Express,7130.16,425123,2026-05-15,14.55,2020-06-21,Active
1456.35,Quarterly,7030562934985055,4818422075442863,MasterCard,9028.73,431439,2029-07-10,11.66,2023-07-20,Active
1722.97,Monthly,5375753848251476,502095870940,MasterCard,5593.94,401993,2026-10-08,14.15,2022-07-30,Closed
4633.24,Monthly,5751760981259752,3556268707575457,American Express,6384.77,403598,2027-06-07,18.05,2021-11-30,Closed
1526,Monthly,8765073685295444,3567846594525821,MasterCard,4902.69,424496,2029-02-17,18.17,2020-02-18,Closed
938.81,Quarterly,8557129890144794,4782649308821,Visa,3854.3,416388,2025-08-22,15.26,2021-06-01,Active
2981.51,Quarterly,2888428759395719,3544648456138083,MasterCard,8557.08,429172,2026-08-30,19.71,2023-07-08,Suspended
1322.74,Monthly,4639701039358547,4471063578208886,Visa,7559.23,406830,2028-04-18,12.23,2020-10-02,Active
3938.47,Quarterly,4066354306857974,213107534976887,American Express,2677.58,431521,2028-07-13,11.7,2021-11-18,Closed
2486.63,Monthly,1044786652596809,4140868491593276,MasterCard,6694.18,443349,2028-01-31,19.02,2020-12-11,Active
