BranchID,EmployeeID,FirstName,Hiredate,LastName,ManagerID,Position
130,1876,Pamela,2020-03-05,Thomas,null,Assistant Manager
167,1877,Michael,2020-12-30,King,null,Manager
114,1878,Linda,2022-12-18,Adams,null,Manager
253,1879,Laurie,2017-09-03,Mcintyre,null,Manager
108,1880,Danielle,2016-04-13,Holmes,null,Manager
159,1881,Regina,2016-02-21,Kennedy,1161,Teller
136,1882,Luke,2015-06-25,Hill,null,Manager
239,1883,Adam,2019-10-14,Taylor,null,Assistant Manager
147,1884,Ashley,2019-12-03,Gonzalez,1521,Loan Officer
148,1885,Carl,2019-03-03,Williams,2763,Loan Officer
201,1886,Jonathan,2019-11-27,Thomas,2661,Customer Service Representative
177,1887,Erin,2019-08-12,Flores,1971,Loan Officer
273,1888,James,2017-12-12,Burgess,null,Assistant Manager
240,1889,Steven,2021-05-02,Carey,1398,Financial Analyst
285,1890,Kayla,2016-06-13,Williams,388,Loan Officer
137,1891,Tina,2019-09-12,Mclaughlin,null,Assistant Manager
100,1892,Sheila,2015-08-05,Sweeney,299,Loan Officer
238,1893,Ashley,2014-10-19,Hunter,1500,Customer Service Representative
118,1894,Ann,2021-06-05,Bowman,null,Manager
240,1895,Charles,2023-02-15,Li,1398,Financial Analyst
269,1896,James,2020-03-06,Allen,1249,Teller
236,1897,James,2016-09-15,Lyons,null,Manager
229,1898,Dana,2017-12-08,Gomez,null,Manager
158,1899,Tammy,2019-11-12,Nelson,null,Assistant Manager
205,1900,Nicholas,2021-04-14,Fuentes,184,Loan Officer
103,1901,Preston,2016-02-19,Ibarra,1784,Financial Analyst
116,1902,Christopher,2022-06-12,Tucker,781,Financial Analyst
237,1903,Sergio,2017-05-30,Bennett,2726,Teller
138,1904,Brittany,2018-09-26,Beck,926,Customer Service Representative
105,1905,Jennifer,2017-04-27,Chambers,587,Teller
257,1906,Courtney,2017-08-01,Graham,2799,Loan Officer
219,1907,David,2015-08-21,Hendricks,982,Financial Analyst
143,1908,Danny,2022-03-14,Davis,679,Customer Service Representative
255,1909,Michael,2024-05-05,Jenkins,2112,Financial Analyst
223,1910,Gina,2020-06-08,Castro,1087,Customer Service Representative
182,1911,Joshua,2015-05-11,Crawford,1949,Customer Service Representative
108,1912,Cody,2020-04-26,Jones,2958,Customer Service Representative
141,1913,Kiara,2022-10-25,Yates,null,Manager
120,1914,Ariana,2021-05-15,Gutierrez,663,Customer Service Representative
195,1915,Courtney,2021-04-30,Garza,null,Assistant Manager
272,1916,Stephen,2019-01-09,King,396,Teller
225,1917,Michael,2019-08-25,Mathews,2390,Financial Analyst
122,1918,Travis,2020-11-17,Edwards,null,Assistant Manager
228,1919,Rachel,2015-01-02,Rodriguez,null,Manager
148,1920,Benjamin,2022-07-30,Walsh,1496,Loan Officer
178,1921,Nicole,2016-12-05,Macdonald,2406,Teller
115,1922,Roberto,2022-12-25,Turner,null,Manager
278,1923,Harry,2021-04-17,Patel,2158,Customer Service Representative
136,1924,Eric,2020-09-29,Jones,null,Assistant Manager
179,1925,Ryan,2018-05-03,Horne,null,Manager
196,1926,Kathleen,2022-03-07,Wheeler,null,Assistant Manager
258,1927,Amber,2023-03-07,Austin,2086,Customer Service Representative
207,1928,Kimberly,2021-06-19,Dodson,1091,Customer Service Representative
132,1929,Paula,2014-09-23,Newman,956,Customer Service Representative
281,1930,Christy,2020-11-18,Davis,null,Assistant Manager
223,1931,Bridget,2020-04-29,Griffin,1087,Teller
293,1932,Caleb,2018-11-21,Lewis,1694,Financial Analyst
151,1933,Phyllis,2019-02-19,Brown,1828,Loan Officer
183,1934,Ryan,2018-09-24,Schmidt,null,Manager
286,1935,Charles,2021-11-21,Lane,222,Customer Service Representative
155,1936,Daniel,2021-11-30,Conway,null,Manager
222,1937,Phillip,2021-10-18,Carlson,301,Financial Analyst
160,1938,Cory,2021-11-03,Hopkins,440,Customer Service Representative
241,1939,Mike,2018-10-31,Thomas,2432,Financial Analyst
216,1940,Michele,2018-09-08,Ramos,null,Manager
171,1941,Heather,2019-09-11,Hobbs,2761,Loan Officer
258,1942,Daniel,2023-08-29,Bird,null,Manager
214,1943,Michelle,2019-06-19,Hahn,890,Financial Analyst
169,1944,Ruben,2016-01-14,Garcia,null,Manager
173,1945,David,2019-06-25,Andrade,1615,Teller
217,1946,Eric,2020-05-18,Larson,1078,Financial Analyst
262,1947,Joseph,2020-04-04,French,1217,Loan Officer
203,1948,Cheryl,2021-04-29,Long,null,Manager
182,1949,Kristin,2020-04-23,Powers,null,Assistant Manager
265,1950,Michael,2017-03-30,Logan,499,Loan Officer
180,1951,Regina,2017-10-10,Bell,null,Assistant Manager
233,1952,Samantha,2017-07-05,Washington,2312,Teller
211,1953,Bradley,2014-12-09,Hawkins,2767,Customer Service Representative
205,1954,Rebecca,2018-10-27,Moody,null,Manager
124,1955,Heather,2016-08-11,Park,null,Assistant Manager
217,1956,Anthony,2024-03-15,Short,1078,Loan Officer
150,1957,Anthony,2014-09-20,Collins,1095,Financial Analyst
193,1958,Natasha,2014-10-14,Crawford,331,Financial Analyst
224,1959,Ann,2017-09-07,Alexander,153,Teller
271,1960,Joseph,2024-07-20,Todd,4,Customer Service Representative
223,1961,Christina,2024-03-24,Sims,1087,Loan Officer
140,1962,Lisa,2019-05-17,Hawkins,null,Assistant Manager
185,1963,Michael,2019-09-16,Stone,1357,Loan Officer
225,1964,Mark,2024-01-11,Armstrong,711,Financial Analyst
108,1965,Jeffrey,2020-01-01,Becker,null,Assistant Manager
140,1966,Kaitlyn,2017-05-25,Scott,null,Assistant Manager
216,1967,Nina,2023-09-20,Mejia,null,Manager
151,1968,Nathan,2017-06-22,Bates,null,Assistant Manager
153,1969,Sarah,2024-05-24,Carter,1000,Financial Analyst
244,1970,Bradley,2014-11-29,Potter,2590,Loan Officer
177,1971,Gregory,2018-07-23,Mcdonald,null,Assistant Manager
196,1972,Angela,2018-11-19,Powell,null,Manager
258,1973,Keith,2016-06-14,Wilson,null,Assistant Manager
175,1974,Elizabeth,2020-02-08,Parsons,1991,Customer Service Representative
174,1975,Shawn,2019-06-07,Griffin,258,Customer Service Representative
249,1976,Ernest,2024-01-30,Patel,1637,Customer Service Representative
183,1977,Travis,2021-10-30,Duran,1679,Teller
204,1978,Michael,2022-02-18,Mccormick,786,Loan Officer
215,1979,Douglas,2020-12-17,Blackwell,2497,Customer Service Representative
115,1980,Deborah,2023-04-09,Ray,2323,Loan Officer
227,1981,Scott,2022-01-22,Gibson,null,Assistant Manager
130,1982,Michelle,2019-02-14,Crawford,1650,Loan Officer
101,1983,David,2023-05-13,Ball,808,Teller
100,1984,Lee,2021-12-24,Roman,null,Assistant Manager
289,1985,Philip,2018-02-27,Larsen,289,Customer Service Representative
117,1986,Kenneth,2021-06-04,Griffin,666,Teller
274,1987,Dustin,2020-07-31,Gardner,2739,Teller
133,1988,Michael,2024-04-02,Carroll,2752,Teller
127,1989,Jessica,2023-03-22,Clark,1115,Customer Service Representative
185,1990,Emily,2022-10-24,Gordon,1357,Financial Analyst
175,1991,Brian,2024-02-15,Daniel,null,Manager
123,1992,Jessica,2023-01-18,Guzman,null,Manager
204,1993,Deanna,2017-10-08,Mcgee,null,Manager
291,1994,George,2023-08-06,Warner,null,Assistant Manager
186,1995,Angela,2016-05-22,Mcknight,1853,Loan Officer
266,1996,John,2018-11-18,Baker,2668,Customer Service Representative
198,1997,Joy,2024-06-01,Cobb,742,Teller
126,1998,Stacey,2023-05-11,Mcintyre,595,Teller
280,1999,Shawn,2016-06-04,Baker,null,Manager
248,2000,James,2017-08-25,Porter,null,Assistant Manager
124,2001,Carol,2020-02-24,Coleman,null,Assistant Manager
230,2002,Tiffany,2022-09-26,Johnson,1157,Loan Officer
153,2003,Glenda,2017-11-28,Cooper,null,Manager
126,2004,Brandon,2015-07-04,Preston,2937,Teller
165,2005,Gary,2018-06-09,Diaz,555,Customer Service Representative
259,2006,Autumn,2022-05-04,Bishop,null,Manager
285,2007,Marissa,2020-06-17,Jones,2347,Teller
180,2008,Ruth,2016-01-29,Franklin,null,Manager
164,2009,Justin,2020-12-21,Wilkerson,2068,Customer Service Representative
158,2010,Steven,2016-05-27,Miles,1851,Financial Analyst
